acidification,"A process that lowers the pH of a solution. When carbon dioxide dissolves in water, it triggers chemical reactions that create carbonic acid."
algae,"Single-celled organisms, once considered plants (they aren’t). As aquatic organisms, they grow in water. Like green plants, they depend on sunlight to make their food."
ancestor,"A predecessor. It could be a family forebear, such as a parent, grandparent or great-great-great grandparent. Or it could be a species, genus, family or other order of organisms from which some later one evolved. For instance, ancient dinosaurs are the ancestors of today's birds. (antonym: descendant)"
annual,"Adjective for something that happens every year. (in botany) A plant that lives only one year, so it usually has a showy flower and produces many seeds."
aquaculture,The process of raising fish and other aquatic species for human consumption. These activities are sometimes referred to as “fish farming.” People who work in this field are known asaquaculturists.
biologist,A scientist involved in the study of living things.
breed,(verb) To produce offspring through reproduction.
carbon,"A chemical element that is the physical basis of all life on Earth. Carbon exists freely as graphite and diamond. (in climate studies) The term carbon sometimes will be used almost interchangeably with carbon dioxide to connote the potential impacts that some action, product, policy or process may have on long-term atmospheric warming."
carbon dioxide,"(or CO2) A colorless, odorless gas produced by all animals when the oxygen they inhale reacts with the carbon-rich foods that they’ve eaten. Carbon dioxide also is released when organic matter burns (including fossil fuels like oil or gas). Carbon dioxide acts as a greenhouse gas, trapping heat in Earth’s atmosphere. Plants convert carbon dioxide into oxygen during photosynthesis, the process they use to make their own food."
cell,"(in biology) The smallest structural and functional unit of an organism. Typically too small to see with the unaided eye, it consists of a watery fluid surrounded by a membrane or wall. Depending on their size, animals are made of anywhere from thousands to trillions of cells. Most organisms, such as yeasts, molds, bacteria and some algae, are composed of only one cell."
climate change,"Long-term, significant change in the climate of Earth. It can happen naturally or in response to human activities, including the burning of fossil fuels and clearing of forests."
core,Something — usually round-shaped — in the center of an object.
cultivate,To prepare land for growing food or to nurture the growth of a plant.
current,A fluid — such as of water or air — that moves in a recognizable direction.
deforestation,The intentional removal of all trees from notable pieces of forested land. Sometimes this has been done to make way for roads or towns. It may also be done to harvest trees for income from lumber.
ecology,(adj. ecological) A branch of biology that deals with the relations of organisms to one another and to their physical surroundings. A scientist who works in this field is called anecologist.
ecosystem,"A group of interacting living organisms — including microorganisms, plants and animals — and their physical environment within a particular climate. Examples include tropical reefs, rainforests, alpine meadows and polar tundra. The term can also be applied to elements that make up some an artificial environment, such as a company, classroom or the internet."
egg,"A reproductive cell that contains half of the genetic information necessary to form a complete organism. In humans and in many other animals, ovaries produce eggs. When an egg fuses with a sperm, they combine to produce a new cell, called a zygote. This is the first step in the development of a new organism."""
environment,"The sum of all the things that exist around some organism or the process and the condition those things create. Environment may refer to the weather and ecosystem in which some animal lives, or, perhaps, the temperature and humidity (or even the placement of things in the vicinity of an item of interest)."
erosion,"(v. erode) The process that removes rock and soil from one spot on Earth’s surface, depositing it elsewhere. Erosion can be exceptionally fast or exceedingly slow. Causes of erosion include wind, water (including rainfall and floods), the scouring action of glaciers and the repeated cycles of freezing and thawing that occur in many areas of the world."
factor,Something that plays a role in a particular condition or event; a contributor.
fertilize,"(in biology) The merging of a male and a female reproductive cell (egg and sperm) to set in create a new, independent organism. (in agriculture and horticulture) To provide basic chemical nutrients for growth."
field,"An area of study, as in:Her field of research is biology. Also a term to describe a real-world environment in which some research is conducted, such as at sea, in a forest, on a mountaintop or on a city street. It is the opposite of an artificial setting, such as a research laboratory."
filament,"Something with a thin, thread-like shape. For instance, the fragile metal wire that heats up to emit light inside an incandescent light bulb is known as its filament."
filter,"(n.) Something that allows some materials to pass through but not others, based on their size or some other feature. (v.) The process of screening some things out on the basis of traits such as size, density, electric charge. (in physics) A screen, plate or layer of a substance that absorbs light or other radiation or selectively prevents the transmission of some of its components."
football field,"The field on which athletes play American football. Owing to its size and familiarity, many people use this field as a measure of how big something is. A regulation field (including its end zones) runs 360 feet (almost 110 meters) long and 160 feet (almost 49 meters) wide."
forest,An area of land covered mostly with trees and other woody plants.
generation,"A group of individuals (in any species) born at about the same time or that are regarded as a single group. Your parents belong to one generation of your family, for example, and your grandparents to another. Similarly, you and everyone within a few years of your age across the planet are referred to as belonging to a particular generation of humans. The term also is sometimes extended to year classes of other animals or to types of inanimate objects (such as electronics or automobiles)."
habitat,"The area or natural environment in which an animal or plant normally lives, such as a desert, coral reef or freshwater lake. A habitat can be home to thousands of different species."
indigenous,"Native to some region. (in anthropology) An adjective (and capitalized) for people that have lived for eons in some region, developing a culture that reflects the resources, climate and ecosystems of that place."
invertebrate,An animal lacking a backbone. About 90 percent of animal species are invertebrates.
kelp,"A type of large seaweed that is usually a type of brown algae. They grow underwater and form large forests, providing habitat for many organisms. Some kelp forests are so large they can be seen from space."
lunar,Of or relating to Earth’s moon.
marine,Having to do with the ocean world or environment.
marine biologist,"A scientist who studies creatures that live in ocean water, from bacteria and shellfish to kelp and whales."
mature,"(adj.) Connoting an adult individual or full-grown and fully developed (non-juvenile) form of something. (verb) To develop toward — or into — a more complex and full-grown form of something, be it a living thing, a technology or an idea."
microscopic,"An adjective for things too small to be seen by the unaided eye. It takes a microscope to view objects this small, such as bacteria or other one-celled organisms."
monitor,"To test, sample or watch something, especially on a regular or ongoing basis."
native,"Associated with a particular location; native plants and animals have been found in a particular location since recorded history began. These species also tend to have developed within a region, occurring there naturally (not because they were planted or moved there by people). Most are particularly well adapted to their environment."
New Zealand,"An island nation in the southwest Pacific Ocean, roughly 1,500 kilometers (some 900 miles) east of Australia. Its “mainland” — consisting of a North and South Island — is quite volcanically active. In addition, the country includes many far smaller offshore islands."
organism,"Any living thing, from elephants and plants to bacteria and other types of single-celled life."
petri dish,"A shallow, circular dish used to grow bacteria or other microorganisms."
photosynthesis,(verb: photosynthesize) The process by which green plants and some other organisms use sunlight to produce foods from carbon dioxide and water.
population,(in biology) A group of individuals (belonging to the same species) that lives in a given area.
reef,"A ridge of rock, coral or sand. It rises up from the seafloor and may come to just above or just under the water’s surface."
risk,"The chance or mathematical likelihood that some bad thing might happen. For instance, exposure to radiation poses a risk of cancer. Or the hazard — or peril — itself. (For instance:Among cancer risks that the people faced were radiation and drinking water tainted with arsenic.)"
sea,"An ocean (or region that is part of an ocean). Unlike lakes and streams, seawater — or ocean water — is salty."
seawater,The salty water found in oceans.
seaweed,Large algae growing in the sea or on rocks below the high-water mark.
sediment,"Material (such as stones and sand) deposited by water, wind or glaciers."
